FEATURE                                                  DSL VERSION  FEATURE SUPPORT  VERSION SUPPORT  SINCE
task.retry.maxAttempts                                   2.0          ga               supported        dev
task.timeoutSeconds                                      2.0          ga               supported        dev
trigger.backlog-item                                     2.0          ga               supported        dev
trigger.backlog-item.selector                            2.0          ga               supported        dev
trigger.backlog-item.trustLabel                          2.0          ga               supported        dev
trigger.enabled                                          2.0          ga               supported        dev
trigger.fieldPredicate                                   2.0          ga               supported        dev
trigger.idleBackoff                                      2.0          ga               supported        dev
trigger.idleBackoff.ceiling                              2.0          ga               supported        dev
trigger.idleBackoff.enabled                              2.0          ga               supported        dev
trigger.idleBackoff.floor                                2.0          ga               supported        dev
trigger.labelPredicate                                   2.0          ga               supported        dev
trigger.manual                                           2.0          ga               supported        dev
trigger.priority                                         2.0          ga               supported        dev
trigger.schedule                                         2.0          ga               supported        dev
trigger.signal                                           2.0          ga               supported        dev
trigger.webhook                                          2.0          ga               supported        dev
workflow.spec.displayName                                2.0          ga               supported        dev
workflow.spec.docsRoots                                  2.0          ga               supported        dev
workflow.spec.gaggle                                     2.0          ga               supported        dev
workflow.spec.gates                                      2.0          ga               supported        dev
workflow.spec.outboxMirrorPath                           2.0          ga               supported        dev
workflow.spec.parallels                                  2.0          ga               supported        dev
workflow.spec.parallels.branchTimeoutSeconds             2.0          ga               supported        dev
workflow.spec.parallels.branches                         2.0          ga               supported        dev
workflow.spec.parallels.failurePolicy                    2.0          ga               supported        dev
workflow.spec.parallels.join                             2.0          ga               supported        dev
workflow.spec.parallels.maxConcurrentBranches            2.0          ga               supported        dev
workflow.spec.parallels.onFailure                        2.0          ga               supported        dev
workflow.spec.readiness                                  2.0          ga               supported        dev
workflow.spec.readiness.desiredConcurrentRuns            2.0          ga               supported        dev
workflow.spec.readiness.maxChainDepth                    2.0          ga               supported        dev
workflow.spec.readiness.maxConcurrentRuns                2.0          ga               supported        dev
workflow.spec.readiness.maxOpenPRs                       2.0          ga               supported        dev
workflow.spec.readiness.maxRunsPerDay                    2.0          ga               supported        dev
workflow.spec.readiness.maxRunsPerHour                   2.0          ga               supported        dev
workflow.spec.requires.capabilities                      2.0          ga               supported        dev
workflow.spec.runControls                                2.0          ga               supported        dev
workflow.spec.runControls.maxRepasses                    2.0          ga               supported        dev
workflow.spec.runControls.maxRunDuration                 2.0          ga               supported        dev
workflow.spec.runControls.stalledRunTimeout              2.0          ga               supported        dev
workflow.spec.start                                      2.0          ga               supported        dev
workflow.spec.tasks                                      2.0          ga               supported        dev
workflow.spec.triggers                                   2.0          ga               supported        dev
workflow.spec.tutorScope                                 2.0          ga               supported        dev
workflow.spec.tutorScope.target                          2.0          ga               supported        dev
workflow.spec.tutorScope.tier                            2.0          ga               supported        dev
workflow.terminal.abort                                  2.0          ga               supported        dev
workflow.terminal.complete                               2.0          ga               supported        dev
workflow.terminal.escalate                               2.0          ga               supported        dev
gaggle.spec.additionalRepos                              3.0          ga               preview          dev
gaggle.spec.additionalRepos.baseUrl                      3.0          ga               preview          dev
gaggle.spec.additionalRepos.checkout.sparse              3.0          ga               preview          dev
gaggle.spec.additionalRepos.provider.ado                 3.0          ga               preview          dev
gaggle.spec.additionalRepos.provider.gitea               3.0          ga               preview          dev
gaggle.spec.additionalRepos.provider.github              3.0          ga               preview          dev
gaggle.spec.backlog                                      3.0          ga               preview          dev
gaggle.spec.backlog.baseUrl                              3.0          ga               preview          dev
gaggle.spec.backlog.fieldPredicate                       3.0          ga               preview          dev
gaggle.spec.backlog.labelPredicate                       3.0          ga               preview          dev
gaggle.spec.backlog.labels                               3.0          ga               preview          dev
gaggle.spec.backlog.provider.ado                         3.0          ga               preview          dev
gaggle.spec.backlog.provider.gitea                       3.0          ga               preview          dev
gaggle.spec.backlog.provider.github                      3.0          ga               preview          dev
gaggle.spec.branchNamespace                              3.0          ga               preview          dev
gaggle.spec.ciCommand                                    3.0          ga               preview          dev
gaggle.spec.displayName                                  3.0          ga               preview          dev
gaggle.spec.isolation.identityRef                        3.0          ga               preview          dev
gaggle.spec.isolation.namespace                          3.0          ga               preview          dev
gaggle.spec.outboxMirrorPath                             3.0          ga               preview          dev
gaggle.spec.project                                      3.0          ga               preview          dev
gaggle.spec.project.baseUrl                              3.0          ga               preview          dev
gaggle.spec.project.checkout.sparse                      3.0          ga               preview          dev
gaggle.spec.project.provider.ado                         3.0          ga               preview          dev
gaggle.spec.project.provider.gitea                       3.0          ga               preview          dev
gaggle.spec.project.provider.github                      3.0          ga               preview          dev
gaggle.spec.requireLabels                                3.0          ga               preview          dev
gaggle.spec.runControls                                  3.0          ga               preview          dev
gaggle.spec.runControls.maxRepasses                      3.0          ga               preview          dev
gaggle.spec.runControls.maxRunDuration                   3.0          ga               preview          dev
gaggle.spec.runControls.stalledRunTimeout                3.0          ga               preview          dev
gaggle.spec.runsOn                                       3.0          ga               preview          v0.4.0
gaggle.spec.runsOn.capabilities                          3.0          ga               preview          v0.4.0
gaggle.spec.runsOn.capabilities.privilege.windows-admin  3.0          ga               preview          v0.4.0
gaggle.spec.runsOn.os                                    3.0          ga               preview          v0.4.0
gaggle.spec.runsOn.restrictions                          3.0          ga               preview          v0.4.0
gaggle.spec.selfIdentity                                 3.0          ga               preview          dev
gaggle.spec.siblings                                     3.0          ga               preview          dev
gaggle.spec.workcopies.root                              3.0          ga               preview          dev
gate.branch.escalate                                     3.0          ga               preview          dev
gate.branches                                            3.0          ga               preview          dev
gate.evaluator.agentic                                   3.0          ga               preview          dev
gate.evaluator.agentic.goober                            3.0          ga               preview          dev
gate.evaluator.agentic.retry                             3.0          ga               preview          dev
gate.evaluator.agentic.retry.backoff                     3.0          ga               preview          dev
gate.evaluator.agentic.retry.maxAttempts                 3.0          ga               preview          dev
gate.evaluator.agentic.timeoutSeconds                    3.0          ga               preview          dev
gate.evaluator.agentic.workspace                         3.0          ga               preview          dev
gate.evaluator.automated                                 3.0          ga               preview          dev
gate.evaluator.automated.check                           3.0          ga               preview          dev
gate.evaluator.automated.check.ci-status                 3.0          ga               preview          dev
gate.evaluator.automated.check.failure-class             3.0          ga               preview          dev
gate.evaluator.automated.check.land-outcome              3.0          ga               preview          dev
gate.evaluator.automated.check.output-equals             3.0          ga               preview          dev
gate.evaluator.automated.check.output-matches            3.0          ga               preview          dev
gate.evaluator.automated.check.output-not-equals         3.0          ga               preview          dev
gate.evaluator.automated.check.output-numeric-gte        3.0          ga               preview          dev
gate.evaluator.automated.check.output-numeric-lt         3.0          ga               preview          dev
gate.evaluator.automated.check.output-numeric-lte        3.0          ga               preview          dev
gate.evaluator.automated.check.queue-outcome             3.0          ga               preview          dev
gate.evaluator.automated.check.status-equals             3.0          ga               preview          dev
gate.evaluator.automated.params                          3.0          ga               preview          dev
gate.evaluator.automated.pollIntervalSeconds             3.0          ga               preview          dev
gate.evaluator.automated.retry                           3.0          ga               preview          dev
gate.evaluator.automated.retry.backoff                   3.0          ga               preview          dev
gate.evaluator.automated.retry.maxAttempts               3.0          ga               preview          dev
gate.evaluator.automated.timeoutSeconds                  3.0          ga               preview          dev
gate.evaluator.human                                     3.0          ga               preview          dev
gate.evaluator.human.approvers                           3.0          ga               preview          dev
gate.evaluator.human.onTimeout.escalate                  3.0          ga               preview          dev
gate.evaluator.human.onTimeout.reject                    3.0          ga               preview          dev
gate.evaluator.human.onTimeout.remind                    3.0          ga               preview          dev
gate.evaluator.human.timeout                             3.0          ga               preview          dev
gate.maxRepasses                                         3.0          ga               preview          dev
gate.name                                                3.0          ga               preview          dev
gate.runsOn                                              3.0          ga               preview          v0.4.0
gate.runsOn.capabilities                                 3.0          ga               preview          v0.4.0
gate.runsOn.capabilities.privilege.windows-admin         3.0          ga               preview          v0.4.0
gate.runsOn.cpu                                          3.0          ga               preview          v0.4.0
gate.runsOn.disk                                         3.0          ga               preview          v0.4.0
gate.runsOn.memory                                       3.0          ga               preview          v0.4.0
gate.runsOn.os                                           3.0          ga               preview          v0.4.0
gate.runsOn.restrictions                                 3.0          ga               preview          v0.4.0
goober.spec.capabilities                                 3.0          ga               preview          dev
goober.spec.conditionalPolicyActions                     3.0          ga               preview          dev
goober.spec.displayName                                  3.0          ga               preview          dev
goober.spec.gaggle                                       3.0          ga               preview          dev
goober.spec.harness.claude-code                          3.0          ga               preview          dev
goober.spec.harness.copilot                              3.0          ga               preview          dev
goober.spec.harnessOptions                               3.0          ga               preview          dev
goober.spec.instructions                                 3.0          ga               preview          dev
goober.spec.mcpServers                                   3.0          ga               preview          dev
goober.spec.model                                        3.0          ga               preview          dev
goober.spec.policyActions                                3.0          ga               preview          dev
goober.spec.role                                         3.0          ga               preview          dev
goober.spec.scaleFactor                                  3.0          ga               preview          dev
goober.spec.skills                                       3.0          ga               preview          dev
goober.spec.timeoutSeconds                               3.0          ga               preview          dev
goober.spec.tools                                        3.0          ga               preview          dev
goober.spec.workflows                                    3.0          ga               preview          dev
stage.ci-poll                                            3.0          ga               preview          dev
stage.external-telemetry                                 3.0          ga               preview          dev
stage.resultFile                                         3.0          ga               preview          dev
stage.run.command                                        3.0          ga               preview          dev
stage.run.env                                            3.0          ga               preview          dev
stage.run.script                                         3.0          ga               preview          dev
stage.run.syncBase                                       3.0          ga               preview          dev
stage.run.workspace.repo                                 3.0          ga               preview          dev
stage.run.workspace.scratch                              3.0          ga               preview          dev
stage.shell                                              3.0          ga               preview          dev
stage.workspace                                          3.0          ga               preview          dev
stage.workspace.repo-readonly                            3.0          ga               preview          dev
task.agentic                                             3.0          ga               preview          dev
task.capabilities                                        3.0          ga               preview          dev
task.commitsRepo                                         3.0          ga               preview          v0.4.0
task.contextFrom                                         3.0          ga               preview          dev
task.continueOnError                                     3.0          ga               preview          dev
task.deterministic                                       3.0          ga               preview          dev
task.expectedOutputs                                     3.0          ga               preview          dev
task.goal                                                3.0          ga               preview          dev
task.goober                                              3.0          ga               preview          dev
task.inputs                                              3.0          ga               preview          dev
task.inputs.fieldOrder                                   3.0          ga               preview          dev
task.inputsFrom                                          3.0          ga               preview          dev
task.inputsFrom.stageQualified                           3.0          ga               preview          v0.2.0
task.limits                                              3.0          ga               preview          dev
task.limits.maxCostUSD                                   3.0          ga               preview          dev
task.limits.maxDurationSeconds                           3.0          ga               preview          dev
task.limits.maxTokens                                    3.0          ga               preview          dev
task.minimumIntegrity                                    3.0          ga               preview          dev
task.name                                                3.0          ga               preview          dev
task.nestedAgentPolicy                                   3.0          ga               preview          dev
task.next                                                3.0          ga               preview          dev
task.onTimeout.fail                                      3.0          ga               preview          dev
task.onTimeout.salvage                                   3.0          ga               preview          dev
task.outbox                                              3.0          ga               preview          dev
task.outboxMirrorPath                                    3.0          ga               preview          dev
task.policyActions                                       3.0          ga               preview          dev
task.repoFrom                                            3.0          ga               preview          v0.4.0
task.retry                                               3.0          ga               preview          dev
task.retry.backoff                                       3.0          ga               preview          dev
task.retry.maxAttempts                                   3.0          ga               preview          dev
task.runsOn                                              3.0          ga               preview          v0.4.0
task.runsOn.capabilities                                 3.0          ga               preview          v0.4.0
task.runsOn.capabilities.privilege.windows-admin         3.0          ga               preview          v0.4.0
task.runsOn.cpu                                          3.0          ga               preview          v0.4.0
task.runsOn.disk                                         3.0          ga               preview          v0.4.0
task.runsOn.memory                                       3.0          ga               preview          v0.4.0
task.runsOn.os                                           3.0          ga               preview          v0.4.0
task.runsOn.restrictions                                 3.0          ga               preview          v0.4.0
task.timeoutSeconds                                      3.0          ga               preview          dev
trigger.backlog-item                                     3.0          ga               preview          dev
trigger.backlog-item.selector                            3.0          ga               preview          dev
trigger.backlog-item.trustLabel                          3.0          ga               preview          dev
trigger.enabled                                          3.0          ga               preview          dev
trigger.fieldPredicate                                   3.0          ga               preview          dev
trigger.idleBackoff                                      3.0          ga               preview          dev
trigger.idleBackoff.ceiling                              3.0          ga               preview          dev
trigger.idleBackoff.enabled                              3.0          ga               preview          dev
trigger.idleBackoff.floor                                3.0          ga               preview          dev
trigger.labelPredicate                                   3.0          ga               preview          dev
trigger.manual                                           3.0          ga               preview          dev
trigger.priority                                         3.0          ga               preview          dev
trigger.schedule                                         3.0          ga               preview          dev
trigger.signal                                           3.0          ga               preview          dev
trigger.webhook                                          3.0          ga               preview          dev
workflow.spec.displayName                                3.0          ga               preview          dev
workflow.spec.docsRoots                                  3.0          ga               preview          dev
workflow.spec.gaggle                                     3.0          ga               preview          dev
workflow.spec.gates                                      3.0          ga               preview          dev
workflow.spec.outboxMirrorPath                           3.0          ga               preview          dev
workflow.spec.parallels                                  3.0          ga               preview          dev
workflow.spec.parallels.branchTimeoutSeconds             3.0          ga               preview          dev
workflow.spec.parallels.branches                         3.0          ga               preview          dev
workflow.spec.parallels.failurePolicy                    3.0          ga               preview          dev
workflow.spec.parallels.join                             3.0          ga               preview          dev
workflow.spec.parallels.maxConcurrentBranches            3.0          ga               preview          dev
workflow.spec.parallels.onFailure                        3.0          ga               preview          dev
workflow.spec.readiness                                  3.0          ga               preview          dev
workflow.spec.readiness.desiredConcurrentRuns            3.0          ga               preview          dev
workflow.spec.readiness.maxChainDepth                    3.0          ga               preview          dev
workflow.spec.readiness.maxConcurrentRuns                3.0          ga               preview          dev
workflow.spec.readiness.maxOpenPRs                       3.0          ga               preview          dev
workflow.spec.readiness.maxRunsPerDay                    3.0          ga               preview          dev
workflow.spec.readiness.maxRunsPerHour                   3.0          ga               preview          dev
workflow.spec.requires.capabilities                      3.0          ga               preview          dev
workflow.spec.runControls                                3.0          ga               preview          dev
workflow.spec.runControls.maxRepasses                    3.0          ga               preview          dev
workflow.spec.runControls.maxRunDuration                 3.0          ga               preview          dev
workflow.spec.runControls.stalledRunTimeout              3.0          ga               preview          dev
workflow.spec.start                                      3.0          ga               preview          dev
workflow.spec.tasks                                      3.0          ga               preview          dev
workflow.spec.triggers                                   3.0          ga               preview          dev
workflow.spec.tutorScope                                 3.0          ga               preview          dev
workflow.spec.tutorScope.target                          3.0          ga               preview          dev
workflow.spec.tutorScope.tier                            3.0          ga               preview          dev
workflow.terminal.abort                                  3.0          ga               preview          dev
workflow.terminal.complete                               3.0          ga               preview          dev
workflow.terminal.escalate                               3.0          ga               preview          dev

380 feature/version row(s)
